2,14,13,1571
2,15,12,385
2,16,11,5
3,11,15,30
3,12,14,1574
3,13,13,6818
3,14,12,5587
3,15,11,792
3,16,10,5
4,10,15,1
4,11,14,627
4,12,13,8322
4,13,12,17886
4,14,11,8322
4,15,10,627
4,16,9,1
5,10,14,42
5,11,13,3007
5,12,12,17893
5,13,11,21525
5,14,10,5593
5,15,9,176
6,10,13,231
6,11,12,5593
6,12,11,17892
6,13,10,12266
6,14,9,1574
6,15,8,11
7,10,12,385
7,11,11,4557
7,12,10,8326
7,13,9,3007
7,14,8,135
8,9,12,1
8,10,11,231
8,11,10,1574
8,12,9,1574
8,13,8,231
8,14,7,1
9,10,10,42
9,11,9,176
9,12,8,77
9,13,7,1
10,10,9,1
10,11,8,2
0,15,15,1
1,13,16,5
1,14,15,101
1,15,14,135
1,16,13,15
2,12,16,7
2,13,15,490
2,14,14,1953
2,15,13,1253
2,16,12,101
3,11,16,1
3,12,15,490
3,13,14,5587
3,14,13,10096
3,15,12,3710
3,16,11,176
4,11,15,101
4,12,14,4557
4,13,13,21515
4,14,12,21514
4,15,11,4557
4,16,10,101
5,10,15,1
5,11,14,1002
5,12,13,14821
5,13,12,37080
5,14,11,21525
5,15,10,2434
5,16,9,15
6,10,14,30
6,11,13,3007
6,12,12,21526
6,13,11,30993
6,14,10,10111
6,15,9,490
7,10,13,101
7,11,12,3713
7,12,11,14821
7,13,10,12266
7,14,9,1957
7,15,8,22
8,10,12,101
8,11,11,1956
8,12,10,4557
8,13,9,1957
8,14,8,101
9,10,11,30
9,11,10,385
9,12,9,490
9,13,8,77
10,10,10,1
10,11,9,15
10,12,8,7
0,15,16,1
0,16,15,1
1,14,16,42
1,15,15,176
1,16,14,77
1,17,13,1
2,13,16,135
2,14,15,1571
2,15,14,2429
2,16,13,626
2,17,12,11
3,12,16,77
3,13,15,3005
3,14,14,12246
3,15,13,10096
3,16,12,1574
3,17,11,15
4,11,16,5
4,12,15,1574
4,13,14,17886
4,14,13,37053
4,15,12,17886
4,16,11,1574
4,17,10,5
5,11,15,176
5,12,14,8326
5,13,13,44247
5,14,12,52741
5,15,11,14821
5,16,10,627
6,10,15,1
6,11,14,1002
6,12,13,17892
6,13,12,52752
6,14,11,37083
6,15,10,5593
6,16,9,77
7,10,14,11
7,11,13,1957
7,12,12,17893
7,13,11,30993
7,14,10,12266
7,15,9,792
7,16,8,1
8,10,13,22
8,11,12,1574
8,12,11,8322
8,13,10,8326
8,14,9,1574
8,15,8,22
9,10,12,11
9,11,11,490
9,12,10,1574
9,13,9,792
9,14,8,42
10,10,11,1
10,11,10,42
10,12,9,77
10,13,8,11
0,16,16,1
1,14,17,7
1,15,16,135
1,16,15,176
1,17,14,22
2,13,17,15
2,14,16,791
2,15,15,3000
2,16,14,1953
2,17,13,176
3,12,17,3
3,13,16,1002
3,14,15,10096
3,15,14,17861
3,16,13,6818
3,17,12,385
4,12,16,297
4,13,15,10108
4,14,14,44217
4,15,13,44219
4,16,12,10107
4,17,11,297
5,11,16,11
5,12,15,3007
5,13,14,37080
